generated_at,composite,tier
2026-07-25T00:50:40+00:00,30.0,AMBER
2026-07-25T01:00:11+00:00,30.0,AMBER
2026-07-27T14:00:09+00:00,20.8,GREEN
2026-07-27T15:16:00+00:00,20.8,GREEN
2026-07-27T18:00:45+00:00,20.8,GREEN
2026-07-27T22:32:29+00:00,25.0,GREEN
2026-07-28T13:20:38+00:00,20.8,GREEN
2026-07-28T14:40:40+00:00,25.0,GREEN
2026-07-28T17:49:30+00:00,25.0,GREEN
2026-07-28T22:31:42+00:00,25.0,GREEN
2026-07-29T13:26:14+00:00,25.0,GREEN
2026-07-29T14:33:15+00:00,35.8,AMBER
2026-07-29T17:45:32+00:00,29.2,GREEN
2026-07-29T22:27:05+00:00,35.8,AMBER
2026-07-30T13:16:04+00:00,29.2,GREEN
2026-07-30T14:34:30+00:00,20.8,GREEN
2026-07-30T17:54:59+00:00,20.8,GREEN
2026-07-30T22:33:53+00:00,20.8,GREEN
2026-07-31T13:21:25+00:00,20.8,GREEN
2026-07-31T14:38:02+00:00,20.8,GREEN
2026-07-31T17:59:39+00:00,20.8,GREEN
2026-07-31T22:31:04+00:00,20.8,GREEN
2026-08-03T14:09:10+00:00,20.8,GREEN
2026-08-03T15:19:39+00:00,17.5,GREEN
2026-08-03T18:14:40+00:00,17.5,GREEN
2026-08-03T22:32:50+00:00,17.5,GREEN
2026-08-04T13:25:04+00:00,17.5,GREEN
2026-08-04T14:41:22+00:00,9.2,GREEN
2026-08-04T18:10:03+00:00,9.2,GREEN
2026-08-04T22:33:43+00:00,9.2,GREEN
2026-08-05T13:24:23+00:00,9.2,GREEN
2026-08-05T14:35:11+00:00,12.5,GREEN
2026-08-05T18:00:08+00:00,12.5,GREEN
2026-08-05T22:33:02+00:00,12.5,GREEN
2026-08-06T13:20:43+00:00,12.5,GREEN
