generated_at,composite,tier
2026-07-25T00:50:40+00:00,30.0,AMBER
2026-07-25T01:00:11+00:00,30.0,AMBER
2026-07-27T14:00:09+00:00,20.8,GREEN
2026-07-27T15:16:00+00:00,20.8,GREEN
2026-07-27T18:00:45+00:00,20.8,GREEN
2026-07-27T22:32:29+00:00,25.0,GREEN
2026-07-28T13:20:38+00:00,20.8,GREEN
2026-07-28T14:40:40+00:00,25.0,GREEN
2026-07-28T17:49:30+00:00,25.0,GREEN
2026-07-28T22:31:42+00:00,25.0,GREEN
2026-07-29T13:26:14+00:00,25.0,GREEN
2026-07-29T14:33:15+00:00,35.8,AMBER
2026-07-29T17:45:32+00:00,29.2,GREEN
2026-07-29T22:27:05+00:00,35.8,AMBER
2026-07-30T13:16:04+00:00,29.2,GREEN
2026-07-30T14:34:30+00:00,20.8,GREEN
2026-07-30T17:54:59+00:00,20.8,GREEN
2026-07-30T22:33:53+00:00,20.8,GREEN
2026-07-31T13:21:25+00:00,20.8,GREEN
2026-07-31T14:38:02+00:00,20.8,GREEN
2026-07-31T17:59:39+00:00,20.8,GREEN
2026-07-31T22:31:04+00:00,20.8,GREEN
2026-08-03T14:09:10+00:00,20.8,GREEN
2026-08-03T15:19:39+00:00,17.5,GREEN
2026-08-03T18:14:40+00:00,17.5,GREEN
2026-08-03T22:32:50+00:00,17.5,GREEN
2026-08-04T13:25:04+00:00,17.5,GREEN
2026-08-04T14:41:22+00:00,9.2,GREEN
2026-08-04T18:10:03+00:00,9.2,GREEN
2026-08-04T22:33:43+00:00,9.2,GREEN
2026-08-05T13:24:23+00:00,9.2,GREEN
2026-08-05T14:35:11+00:00,12.5,GREEN
2026-08-05T18:00:08+00:00,12.5,GREEN
2026-08-05T22:33:02+00:00,12.5,GREEN
2026-08-06T13:20:43+00:00,12.5,GREEN
2026-08-06T14:36:40+00:00,12.5,GREEN
2026-08-07T01:03:15+00:00,12.5,GREEN
2026-08-07T12:40:57+00:00,12.5,GREEN
2026-08-07T13:41:17+00:00,12.5,GREEN
2026-08-07T17:14:02+00:00,12.5,GREEN
2026-08-07T22:03:35+00:00,12.5,GREEN
2026-08-10T12:34:13+00:00,12.5,GREEN
2026-08-10T13:46:46+00:00,12.5,GREEN
2026-08-10T17:22:11+00:00,12.5,GREEN
2026-08-10T22:04:55+00:00,12.5,GREEN
2026-08-11T12:33:26+00:00,14.4,GREEN
2026-08-11T13:45:24+00:00,12.5,GREEN
2026-08-11T17:24:51+00:00,9.2,GREEN
2026-08-11T22:10:17+00:00,9.2,GREEN
2026-08-12T12:35:09+00:00,9.2,GREEN
2026-08-12T13:50:32+00:00,9.2,GREEN
2026-08-12T17:25:33+00:00,4.2,GREEN
2026-08-12T22:08:45+00:00,4.2,GREEN
2026-08-13T12:34:34+00:00,4.2,GREEN
2026-08-13T13:50:55+00:00,4.2,GREEN
2026-08-13T17:25:49+00:00,4.2,GREEN
2026-08-13T22:09:00+00:00,4.2,GREEN
2026-08-14T12:32:19+00:00,4.2,GREEN
2026-08-14T13:45:51+00:00,4.2,GREEN
2026-08-14T17:23:43+00:00,4.2,GREEN
2026-08-14T21:46:35+00:00,4.2,GREEN
2026-08-17T11:59:28+00:00,4.2,GREEN
2026-08-17T13:07:48+00:00,4.2,GREEN
2026-08-17T16:52:16+00:00,4.2,GREEN
2026-08-17T21:47:21+00:00,4.2,GREEN
2026-08-18T12:01:39+00:00,4.8,GREEN
2026-08-18T13:10:10+00:00,4.8,GREEN
2026-08-18T16:55:35+00:00,12.5,GREEN
2026-08-18T21:44:40+00:00,12.5,GREEN
2026-08-19T12:01:32+00:00,12.5,GREEN
2026-08-19T13:11:07+00:00,12.5,GREEN
2026-08-19T16:53:54+00:00,12.5,GREEN
2026-08-19T21:47:34+00:00,12.5,GREEN
2026-08-20T12:01:32+00:00,12.5,GREEN
2026-08-20T13:12:39+00:00,12.5,GREEN
2026-08-20T16:59:07+00:00,12.5,GREEN
2026-08-20T21:50:51+00:00,12.5,GREEN
2026-08-21T12:03:01+00:00,12.5,GREEN
2026-08-21T13:13:03+00:00,12.5,GREEN
2026-08-21T16:58:43+00:00,12.5,GREEN
2026-08-21T21:45:42+00:00,9.8,GREEN
2026-08-24T12:02:36+00:00,9.2,GREEN
2026-08-24T13:15:13+00:00,9.2,GREEN
2026-08-24T17:02:56+00:00,17.5,GREEN
2026-08-24T21:51:17+00:00,17.5,GREEN
2026-08-25T12:05:47+00:00,17.5,GREEN
2026-08-25T13:13:11+00:00,17.5,GREEN
2026-08-25T17:03:33+00:00,12.5,GREEN
2026-08-25T21:50:53+00:00,12.5,GREEN
2026-08-26T12:03:38+00:00,12.5,GREEN
2026-08-26T13:18:10+00:00,12.5,GREEN
2026-08-26T18:10:49+00:00,16.7,GREEN
2026-08-27T00:55:16+00:00,16.7,GREEN
2026-08-27T21:23:07+00:00,13.3,GREEN
2026-08-27T22:17:43+00:00,13.3,GREEN
2026-08-28T01:01:11+00:00,13.3,GREEN
2026-08-28T05:30:52+00:00,13.3,GREEN
2026-08-28T21:34:24+00:00,16.7,GREEN
2026-08-28T22:23:23+00:00,16.7,GREEN
2026-08-29T00:36:09+00:00,16.7,GREEN
2026-08-29T03:13:01+00:00,16.7,GREEN
2026-08-31T18:12:07+00:00,15.8,GREEN
2026-08-31T19:08:27+00:00,11.7,GREEN
